Date,USD,GBP
1999-04-09,1.123,0.85873
1999-04-12,1.1221,0.8559
1999-04-13,1.1182,0.85553
1999-04-14,1.1022,0.85378
1999-04-15,1.0989,0.8511
1999-04-16,1.0956,0.85733
1999-04-19,1.0888,0.85298
1999-04-20,1.0899,0.8531
1999-04-21,1.0879,0.85685
1999-04-22,1.0895,0.85673
1999-04-23,1.0899,0.8598
1999-04-26,1.0866,0.85828
1999-04-27,1.0938,0.864
1999-04-28,1.0938,0.8642
1999-04-29,1.0951,0.8599
1999-04-30,1.0918,0.85878
1999-05-03,1.0884,0.85479
1999-05-04,1.0985,0.86115
1999-05-05,1.0923,0.85828
1999-05-06,1.0933,0.85705
1999-05-07,1.0922,0.85268
1999-05-10,1.0966,0.85428
1999-05-11,1.0819,0.85555
1999-05-12,1.0809,0.85455
1999-05-13,1.0793,0.8585
1999-05-14,1.0765,0.85678
1999-05-17,1.078,0.85795
1999-05-18,1.0737,0.86113
1999-05-19,1.0717,0.8597
1999-05-20,1.0683,0.86103
1999-05-21,1.069,0.86323
1999-05-24,1.0763,0.8593
1999-05-25,1.0697,0.85823
1999-05-26,1.0683,0.86405
1999-05-27,1.0744,0.86365
1999-05-28,1.0715,0.86805
1999-05-31,1.0751,0.86813
1999-06-01,1.0735,0.86793
1999-06-02,1.0785,0.86993
1999-06-03,1.0779,0.86993
1999-06-04,1.0822,0.86846
1999-06-07,1.0808,0.8684
1999-06-08,1.0813,0.8689
1999-06-09,1.0829,0.86895
1999-06-10,1.0881,0.86938
1999-06-11,1.0876,0.86943
1999-06-14,1.0892,0.8702
1999-06-15,1.093,0.86795
1999-06-16,1.095,0.86813
1999-06-17,1.0959,0.8699
1999-06-18,1.1037,0.87228
1999-06-21,1.1014,0.87378
1999-06-22,1.1074,0.88015
1999-06-23,1.1043,0.88265
1999-06-24,1.0965,0.87868
1999-06-25,1.0981,0.8805
1999-06-28,1.1042,0.88428
1999-06-29,1.1039,0.8856
1999-06-30,1.1022,0.88645
1999-07-01,1.1002,0.88463
1999-07-02,1.0978,0.8857
1999-07-05,1.0944,0.88153
1999-07-06,1.0933,0.88108
1999-07-07,1.0972,0.88143
1999-07-08,1.0981,0.88373
1999-07-09,1.1057,0.8844
1999-07-12,1.1015,0.88058
1999-07-13,1.0922,0.88038
1999-07-14,1.0905,0.87738
1999-07-15,1.0915,0.87495
1999-07-16,1.094,0.87685
1999-07-19,1.0901,0.87333
1999-07-20,1.087,0.8779
1999-07-21,1.0875,0.8792
1999-07-22,1.0886,0.88164
1999-07-23,1.0847,0.87988
1999-07-26,1.0841,0.87938
1999-07-27,1.0773,0.87818
1999-07-28,1.0745,0.8794
1999-07-29,1.0879,0.88523
1999-07-30,1.0785,0.87925
1999-08-02,1.0776,0.88033
1999-08-03,1.0717,0.8756
1999-08-04,1.0623,0.87488
1999-08-05,1.0595,0.8782
1999-08-06,1.0549,0.87243
1999-08-09,1.0737,0.88054
1999-08-10,1.0706,0.8837
1999-08-11,1.0586,0.88258
1999-08-12,1.0554,0.88814
1999-08-13,1.0545,0.89074
1999-08-16,1.0665,0.88968
1999-08-17,1.0646,0.8863
1999-08-18,1.0615,0.8853
1999-08-19,1.0605,0.88785
1999-08-20,1.0684,0.88574
1999-08-23,1.0619,0.87701
1999-08-24,1.0554,0.88073
1999-08-25,1.057,0.88245
1999-08-26,1.0616,0.8814
1999-08-27,1.0644,0.87945
1999-08-30,1.0664,0.87925
1999-08-31,1.0674,0.88738
1999-09-01,1.0625,0.88888
1999-09-02,1.07,0.88883
1999-09-03,1.07,0.88825
1999-09-06,1.0759,0.88125
1999-09-07,1.0686,0.88281
1999-09-08,1.069,0.88348
1999-09-09,1.0771,0.88515
1999-09-10,1.0735,0.888
1999-09-13,1.07,0.89338
1999-09-14,1.0776,0.89278
1999-09-15,1.0937,0.8925
1999-09-16,1.0988,0.89289
1999-09-17,1.0894,0.88413
1999-09-20,1.0833,0.88073
1999-09-21,1.0903,0.87978
1999-09-22,1.0865,0.87885
1999-09-23,1.0895,0.87945
1999-09-24,1.0878,0.88248
1999-09-27,1.0858,0.88368
1999-09-28,1.0871,0.8797
1999-09-29,1.0826,0.876
1999-09-30,1.0815,0.87648
1999-10-01,1.0839,0.8753
1999-10-04,1.0843,0.88595
1999-10-05,1.0812,0.88758
1999-10-06,1.0814,0.888
1999-10-07,1.0772,0.8869
1999-10-08,1.0747,0.88673
1999-10-11,1.0723,0.8833
1999-10-12,1.0696,0.88048
1999-10-13,1.05,0.88475
1999-10-14,1.0601,0.88303
1999-10-15,1.0599,0.88076
1999-10-18,1.0545,0.88048
1999-10-19,1.0683,0.8863
1999-10-20,1.0666,0.88693
1999-10-21,1.0649,0.88549
1999-10-22,1.064,0.88058
1999-10-25,1.0624,0.88333
1999-10-26,1.0622,0.8803
1999-10-27,1.0633,0.88243
1999-10-28,1.0636,0.87651
1999-10-29,1.0599,0.8753
1999-11-01,1.0598,0.87118
1999-11-02,1.0619,0.87233
1999-11-03,1.0621,0.86194
1999-11-04,1.0649,0.86118
1999-11-05,1.0545,0.85753
1999-11-08,1.0562,0.86006
1999-11-09,1.0559,0.8595
1999-11-10,1.0519,0.86258
1999-11-11,1.0529,0.86408
1999-11-12,1.0516,0.8617
1999-11-15,1.0587,0.86085
1999-11-16,1.0538,0.85855
1999-11-17,1.0454,0.85715
1999-11-18,1.0376,0.86488
1999-11-19,1.0366,0.86218
1999-11-22,1.0463,0.86606
1999-11-23,1.0375,0.85885
1999-11-24,1.0413,0.85933
1999-11-25,1.0325,0.86369
1999-11-26,1.0274,0.86358
1999-11-29,1.0246,0.86793
1999-11-30,1.0366,0.87063
1999-12-01,1.0319,0.87475
1999-12-02,1.0412,0.87483
1999-12-03,1.0404,0.87455
1999-12-06,1.0319,0.87513
1999-12-07,1.0308,0.87538
1999-12-08,0.9954,0.87298
1999-12-09,1.0039,0.87774
1999-12-10,0.9996,0.87378
1999-12-13,0.9993,0.87135
1999-12-14,0.9872,0.87478
1999-12-15,0.9753,0.87228
1999-12-16,0.9908,0.861
1999-12-17,0.9947,0.86058
1999-12-20,0.9914,0.86115
1999-12-21,0.9951,0.8612
1999-12-22,1.0037,0.86745
1999-12-23,1.0023,0.86603
1999-12-24,0.9861,0.87143
1999-12-27,0.9851,0.8707
1999-12-28,0.973,0.87728
1999-12-29,0.9811,0.87258
1999-12-30,0.9778,0.86993
2000-01-03,0.9835,0.86928
2000-01-04,0.9739,0.8625
2000-01-05,0.9717,0.86823
2000-01-06,0.9739,0.86513
2000-01-07,0.9706,0.8784
2000-01-10,0.9723,0.87703
2000-01-11,0.9697,0.8773
2000-01-12,0.9797,0.87383
2000-01-13,0.986,0.87583
2000-01-14,0.9915,0.8734
2000-01-17,0.9891,0.87273
2000-01-18,0.9764,0.8707
2000-01-19,0.9748,0.883
2000-01-20,0.9706,0.89485
2000-01-21,0.9565,0.90268
2000-01-24,0.9644,0.89275
2000-01-25,0.9646,0.89404
2000-01-26,0.9754,0.88201
2000-01-27,0.9884,0.87256
2000-01-28,0.9906,0.87335
2000-01-31,0.9986,0.87395
2000-02-01,0.999,0.87785
2000-02-02,0.9954,0.874
2000-02-03,0.9992,0.86934
2000-02-04,0.999,0.86498
2000-02-07,1.0175,0.86793
2000-02-08,1.0155,0.86778
2000-02-09,1.0049,0.8686
2000-02-10,1.0009,0.86656
2000-02-11,0.9885,0.8651
2000-02-14,0.9928,0.85743
2000-02-15,0.992,0.86358
2000-02-16,0.9993,0.86478
2000-02-17,1.0004,0.86473
2000-02-18,1,0.86035
2000-02-21,1.0034,0.85645
2000-02-22,0.9986,0.8542
2000-02-23,1.0007,0.8459
2000-02-24,0.997,0.84293
2000-02-25,0.9934,0.84283
2000-02-28,0.9927,0.84343
2000-02-29,1.0001,0.84658
2000-03-01,1.0054,0.84938
2000-03-02,1.0178,0.84391
2000-03-03,1.0164,0.84208
2000-03-06,1.0131,0.84218
2000-03-07,1.0195,0.84375
2000-03-08,1.0285,0.84715
2000-03-09,1.0338,0.84575
2000-03-10,1.0252,0.84608
2000-03-13,1.0234,0.8452
2000-03-14,1.0199,0.84165
2000-03-15,1.0233,0.84268
2000-03-16,1.0181,0.84231
2000-03-17,1.0194,0.83629
2000-03-20,1.0224,0.83665
2000-03-21,1.0233,0.837
2000-03-22,1.0198,0.8399
2000-03-23,1.0122,0.83586
2000-03-24,1.0152,0.84138
2000-03-27,1.0124,0.84558
2000-03-28,1.0236,0.84813
2000-03-29,1.019,0.85141
2000-03-30,1.0199,0.85545
2000-03-31,1.0199,0.85178
2000-04-03,1.0245,0.85303
2000-04-04,1.0131,0.84708
2000-04-05,1.0059,0.84988
2000-04-06,1.0005,0.8456
2000-04-07,1.0067,0.84371
2000-04-10,1.0042,0.84823
2000-04-11,1.0098,0.8454
2000-04-12,1.0163,0.84585
2000-04-13,1.018,0.85105
2000-04-14,1.0177,0.85676
2000-04-17,1.029,0.85845
2000-04-18,1.0455,0.8596
2000-04-19,1.0425,0.86648
2000-04-20,1.0387,0.8582
2000-04-25,1.0517,0.86461
2000-04-26,1.0561,0.8635
2000-04-27,1.0572,0.862
2000-04-28,1.0524,0.85773
2000-05-02,1.0493,0.85818
2000-05-03,1.0521,0.85885
2000-05-04,1.055,0.8601
2000-05-05,1.0517,0.85748
2000-05-08,1.0486,0.855
2000-05-09,1.04,0.8555
2000-05-10,1.0431,0.86328
2000-05-11,1.0452,0.86578
2000-05-12,1.0455,0.8585
2000-05-15,1.0578,0.85048
2000-05-16,1.0743,0.85653
2000-05-17,1.0739,0.85575
2000-05-18,1.0662,0.85365
2000-05-19,1.0726,0.85415
2000-05-22,1.073,0.8542
2000-05-23,1.0692,0.85195
2000-05-24,1.0712,0.85158
2000-05-25,1.0713,0.85138
2000-05-26,1.0764,0.8515
2000-05-29,1.0722,0.84875
2000-05-30,1.0697,0.85073
2000-05-31,1.0656,0.85295
2000-06-01,1.072,0.8575
2000-06-02,1.0659,0.84783
2000-06-05,1.0577,0.8482
2000-06-06,1.0525,0.84728
2000-06-07,1.0523,0.8467
2000-06-08,1.0541,0.844
2000-06-09,1.0422,0.85045
2000-06-12,1.0385,0.85115
2000-06-13,1.0408,0.85293
2000-06-14,1.0553,0.85393
2000-06-15,1.0554,0.85595
2000-06-16,1.0559,0.85235
2000-06-19,1.057,0.85625
2000-06-20,1.0568,0.8519
2000-06-21,1.0531,0.84194
2000-06-22,1.0556,0.8413
2000-06-23,1.0524,0.8381
2000-06-26,1.054,0.83908
2000-06-27,1.0485,0.8435
2000-06-28,1.0583,0.84215
2000-06-29,1.0674,0.84135
2000-06-30,1.0746,0.8433
2000-07-03,1.0817,0.83925
2000-07-04,1.0887,0.83523
2000-07-05,1.083,0.82965
2000-07-06,1.0803,0.82955
2000-07-07,1.0878,0.82908
2000-07-10,1.0826,0.8328
2000-07-11,1.0861,0.83455
2000-07-12,1.09,0.83693
2000-07-13,1.0861,0.83355
2000-07-14,1.0916,0.8345
2000-07-17,1.0923,0.83473
2000-07-18,1.0969,0.8349
2000-07-19,1.1005,0.8389
2000-07-20,1.1052,0.84145
2000-07-21,1.1101,0.84595
2000-07-24,1.1126,0.84563
2000-07-25,1.1085,0.8444
2000-07-26,1.0966,0.83643
2000-07-27,1.1002,0.8338
2000-07-28,1.0978,0.83288
2000-07-31,1.0985,0.8328
2000-08-01,1.1024,0.83228
2000-08-02,1.1038,0.83775
2000-08-03,1.1008,0.83925
2000-08-04,1.1051,0.84315
2000-08-07,1.0994,0.83988
2000-08-08,1.0991,0.84053
2000-08-09,1.096,0.83915
2000-08-10,1.099,0.8397
2000-08-11,1.1084,0.84175
2000-08-14,1.0993,0.8357
2000-08-15,1.0892,0.83185
2000-08-16,1.0895,0.82625
2000-08-17,1.0929,0.82388
2000-08-18,1.1076,0.82773
2000-08-21,1.1106,0.83316
2000-08-22,1.1162,0.8329
2000-08-23,1.1199,0.8355
2000-08-24,1.1216,0.8374
2000-08-25,1.1163,0.83463
2000-08-28,1.1344,0.83463
2000-08-29,1.1342,0.83685
2000-08-30,1.1338,0.83298
2000-08-31,1.1354,0.83425
2000-09-01,1.137,0.83493
2000-09-04,1.1372,0.8394
2000-09-05,1.1345,0.83765
2000-09-06,1.1316,0.8372
2000-09-07,1.1417,0.83958
2000-09-08,1.1439,0.84248
2000-09-11,1.1435,0.84255
2000-09-12,1.1408,0.84363
2000-09-13,1.1447,0.84685
2000-09-14,1.1464,0.84593
2000-09-15,1.1286,0.83208
2000-09-18,1.1323,0.83395
2000-09-19,1.126,0.83498
2000-09-20,1.1156,0.83153
2000-09-21,1.1138,0.83178
2000-09-22,1.116,0.83368
2000-09-25,1.1277,0.83458
2000-09-26,1.1268,0.83713
2000-09-27,1.1304,0.83803
2000-09-28,1.1348,0.83633
2000-09-29,1.1338,0.83265
2000-10-02,1.1345,0.83168
2000-10-03,1.1367,0.83673
2000-10-04,1.1403,0.83573
2000-10-05,1.1447,0.83508
2000-10-06,1.1463,0.83545
2000-10-09,1.137,0.83338
2000-10-10,1.1336,0.83475
2000-10-11,1.1318,0.83398
2000-10-12,1.1298,0.8343
2000-10-13,1.1315,0.83593
2000-10-16,1.1319,0.83546
2000-10-17,1.1279,0.83618
2000-10-18,1.1355,0.84135
2000-10-19,1.1326,0.84028
2000-10-20,1.1334,0.8393
2000-10-23,1.1303,0.84115
2000-10-24,1.1331,0.84248
2000-10-25,1.1312,0.8433
2000-10-26,1.1317,0.84389
2000-10-27,1.131,0.84228
2000-10-30,1.1301,0.849
2000-10-31,1.1295,0.8528
2000-11-01,1.1273,0.85205
2000-11-02,1.133,0.85208
2000-11-03,1.1336,0.84835
2000-11-06,1.1262,0.8498
2000-11-07,1.1309,0.85345
2000-11-08,1.1278,0.85158
2000-11-09,1.1273,0.85355
2000-11-10,1.1311,0.8574
2000-11-13,1.1299,0.85603
2000-11-14,1.1256,0.84933
2000-11-15,1.1287,0.85128
2000-11-16,1.1291,0.85048
2000-11-17,1.1339,0.85135
2000-11-20,1.1314,0.85
2000-11-21,1.1363,0.85173
2000-11-22,1.1276,0.84583
2000-11-23,1.1291,0.8462
2000-11-24,1.1223,0.84295
2000-11-27,1.1206,0.83935
2000-11-28,1.1259,0.84185
2000-11-29,1.1278,0.83923
2000-11-30,1.1271,0.83928
2000-12-01,1.1345,0.84173
2000-12-04,1.1316,0.8409
2000-12-05,1.1368,0.84533
2000-12-06,1.1444,0.85165
2000-12-07,1.1448,0.85505
2000-12-08,1.146,0.85538
2000-12-11,1.1558,0.85548
2000-12-12,1.1577,0.8538
2000-12-13,1.1579,0.85478
2000-12-14,1.1519,0.85545
2000-12-15,1.1569,0.8535
2000-12-18,1.1578,0.84823
2000-12-19,1.1603,0.84955
2000-12-20,1.1578,0.84575
2000-12-21,1.1645,0.8449
2000-12-22,1.1593,0.84373
2000-12-27,1.1617,0.8453
2000-12-28,1.1618,0.84178
2000-12-29,1.1603,0.8438
2001-01-02,1.163,0.8437
2001-01-03,1.1637,0.8429
2001-01-04,1.1623,0.84503
2001-01-05,1.1655,0.84275
2001-01-08,1.1604,0.84438
2001-01-09,1.1602,0.84368
2001-01-10,1.1602,0.84618
2001-01-11,1.1562,0.84898
2001-01-12,1.1555,0.84755
2001-01-15,1.1574,0.84878
2001-01-16,1.1569,0.8489
2001-01-17,1.1562,0.85023
2001-01-18,1.1542,0.8497
2001-01-19,1.1602,0.85173
2001-01-22,1.1636,0.8553
2001-01-23,1.16,0.85653
2001-01-24,1.1579,0.86053
2001-01-25,1.1654,0.86443
2001-01-26,1.1678,0.8595
2001-01-29,1.1698,0.8542
2001-01-30,1.1719,0.85703
2001-01-31,1.1715,0.85495
2001-02-01,1.1729,0.86
2001-02-02,1.1738,0.85855
2001-02-05,1.1711,0.85705
2001-02-06,1.178,0.85363
2001-02-07,1.1763,0.85025
2001-02-08,1.1824,0.8551
2001-02-09,1.1814,0.8526
2001-02-12,1.178,0.8512
2001-02-13,1.1841,0.8526
2001-02-14,1.1838,0.85555
2001-02-15,1.1827,0.85873
2001-02-16,1.186,0.86115
2001-02-19,1.1864,0.8571
2001-02-20,1.1872,0.8584
2001-02-21,1.1846,0.85915
2001-02-22,1.1817,0.85863
2001-02-23,1.1834,0.85875
2001-02-26,1.1801,0.85748
2001-02-27,1.1761,0.85703
2001-02-28,1.1767,0.85718
2001-03-01,1.1736,0.8559
2001-03-02,1.174,0.85578
2001-03-05,1.1718,0.85635
2001-03-06,1.1671,0.8575
2001-03-07,1.1696,0.85523
2001-03-08,1.1723,0.85183
2001-03-09,1.1767,0.85323
2001-03-12,1.1772,0.84873
2001-03-13,1.1765,0.85093
2001-03-14,1.1739,0.84743
2001-03-15,1.1718,0.84698
2001-03-16,1.1722,0.84568
2001-03-19,1.1761,0.84745
2001-03-20,1.1807,0.8484
2001-03-21,1.185,0.8506
2001-03-22,1.1861,0.85153
2001-03-23,1.1885,0.85355
2001-03-26,1.1886,0.85568
2001-03-27,1.1891,0.8514
2001-03-28,1.1873,0.8508
2001-03-29,1.1807,0.85095
2001-03-30,1.181,0.85503
2001-04-02,1.1787,0.85468
2001-04-03,1.1767,0.85543
2001-04-04,1.1775,0.85563
2001-04-05,1.1772,0.86363
2001-04-06,1.1775,0.86545
2001-04-09,1.1766,0.85913
2001-04-10,1.1802,0.85298
2001-04-11,1.1809,0.85188
2001-04-12,1.1812,0.85158
2001-04-17,1.1844,0.85518
2001-04-18,1.1852,0.8557
2001-04-19,1.1858,0.85758
2001-04-20,1.1838,0.86133
2001-04-23,1.1831,0.855
2001-04-24,1.1838,0.8545
2001-04-25,1.1866,0.85665
2001-04-26,1.1823,0.86003
2001-04-27,1.1884,0.86033
2001-04-30,1.1884,0.85805
2001-05-02,1.1888,0.85948
2001-05-03,1.191,0.8571
2001-05-04,1.195,0.8595
2001-05-07,1.1936,0.85883
2001-05-08,1.1951,0.85435
2001-05-09,1.1894,0.8556
2001-05-10,1.1891,0.8567
2001-05-11,1.1898,0.85785
2001-05-14,1.1937,0.85525
2001-05-15,1.2124,0.8583
2001-05-16,1.2108,0.8615
2001-05-17,1.2112,0.85898
2001-05-18,1.2125,0.8571
2001-05-21,1.2174,0.86293
2001-05-22,1.2195,0.86053
2001-05-23,1.2182,0.861
2001-05-24,1.2162,0.85825
2001-05-25,1.2117,0.8569
2001-05-28,1.2187,0.85955
2001-05-29,1.2186,0.86125
2001-05-30,1.2225,0.86285
2001-05-31,1.2201,0.86013
2001-06-01,1.2142,0.85765
2001-06-04,1.2198,0.86068
2001-06-05,1.2229,0.8633
2001-06-06,1.2264,0.86573
2001-06-07,1.2212,0.86408
2001-06-08,1.2188,0.8587
2001-06-11,1.2203,0.864
2001-06-12,1.2212,0.86233
2001-06-13,1.2222,0.85998
2001-06-14,1.2143,0.86215
2001-06-15,1.2123,0.86083
2001-06-18,1.2081,0.86063
2001-06-19,1.2118,0.85798
2001-06-20,1.217,0.86013
2001-06-21,1.2169,0.86195
2001-06-22,1.2059,0.8681
2001-06-25,1.206,0.86708
2001-06-26,1.2005,0.86274
2001-06-27,1.2021,0.8677
2001-06-28,1.2044,0.86838
2001-06-29,1.2082,0.86863
2001-07-02,1.2129,0.8691
2001-07-03,1.207,0.86988
2001-07-04,1.2088,0.86895
2001-07-05,1.2085,0.86975
2001-07-06,1.2066,0.86905
2001-07-09,1.2046,0.86855
2001-07-10,1.2007,0.8625
2001-07-11,1.2051,0.86295
2001-07-12,1.2035,0.86355
2001-07-13,1.1986,0.86793
2001-07-16,1.197,0.86753
2001-07-17,1.1964,0.86918
2001-07-18,1.1896,0.86698
2001-07-19,1.1904,0.86518
2001-07-20,1.1888,0.86658
2001-07-23,1.1873,0.8629
2001-07-24,1.1884,0.86065
2001-07-25,1.1812,0.85358
2001-07-26,1.1746,0.85195
2001-07-27,1.1725,0.85209
2001-07-30,1.1741,0.85378
2001-07-31,1.1784,0.8512
2001-08-01,1.1782,0.85503
2001-08-02,1.1802,0.86068
2001-08-03,1.1825,0.8625
2001-08-06,1.1883,0.86198
2001-08-07,1.1926,0.86233
2001-08-08,1.1891,0.85763
2001-08-09,1.1912,0.85575
2001-08-10,1.1907,0.85668
2001-08-13,1.1926,0.85945
2001-08-14,1.192,0.8567
2001-08-15,1.1933,0.85835
2001-08-16,1.1969,0.8567
2001-08-17,1.1892,0.85655
2001-08-20,1.1894,0.85704
2001-08-21,1.1866,0.85728
2001-08-22,1.1938,0.863
2001-08-23,1.2034,0.8627
2001-08-24,1.2048,0.86351
2001-08-27,1.2028,0.86433
2001-08-28,1.2053,0.86558
2001-08-29,1.2121,0.87053
2001-08-30,1.2225,0.86408
2001-08-31,1.2146,0.8603
2001-09-03,1.2143,0.86308
2001-09-04,1.2133,0.8653
2001-09-05,1.2139,0.86508
2001-09-06,1.2084,0.8654
2001-09-07,1.206,0.8696
2001-09-10,1.2143,0.87333
2001-09-11,1.2129,0.87225
2001-09-12,1.2108,0.87753
2001-09-13,1.2147,0.87755
2001-09-14,1.2127,0.8765
2001-09-17,1.2104,0.87828
2001-09-18,1.2025,0.87833
2001-09-19,1.1983,0.87538
2001-09-20,1.1996,0.87693
2001-09-21,1.2017,0.88145
2001-09-24,1.2044,0.88075
2001-09-25,1.2084,0.882
2001-09-26,1.2136,0.88383
2001-09-27,1.2091,0.88603
2001-09-28,1.2114,0.88395
2001-10-01,1.2143,0.88698
2001-10-02,1.2152,0.888
2001-10-03,1.2158,0.89045
2001-10-04,1.2158,0.88625
2001-10-05,1.2101,0.88563
2001-10-08,1.2132,0.891
2001-10-09,1.2064,0.89073
2001-10-10,1.2123,0.88998
2001-10-11,1.2124,0.88943
2001-10-12,1.2166,0.88983
2001-10-15,1.2161,0.8944
2001-10-16,1.2163,0.90235
2001-10-17,1.225,0.90128
2001-10-18,1.2276,0.9019
2001-10-19,1.2338,0.90635
2001-10-22,1.2271,0.90333
2001-10-23,1.2296,0.9016
2001-10-24,1.2271,0.89903
2001-10-25,1.2281,0.90307
2001-10-26,1.2259,0.90863
2001-10-29,1.2219,0.90408
2001-10-30,1.2193,0.89795
2001-10-31,1.2166,0.907
2001-11-01,1.2239,0.91148
2001-11-02,1.2173,0.9161
2001-11-05,1.2259,0.90828
2001-11-06,1.2246,0.9005
2001-11-07,1.2189,0.8995
2001-11-08,1.214,0.90795
2001-11-09,1.2162,0.907
2001-11-12,1.2127,0.92294
2001-11-13,1.2115,0.911
2001-11-14,1.2109,0.9
2001-11-15,1.2114,0.91143
2001-11-16,1.2128,0.91215
2001-11-19,1.2159,0.90282
2001-11-20,1.2151,0.90358
2001-11-21,1.2066,0.9049
2001-11-22,1.1968,0.89798
2001-11-23,1.198,0.89845
2001-11-26,1.1922,0.89442
2001-11-27,1.19,0.89129
2001-11-28,1.189,0.89129
2001-11-29,1.1865,0.89012
2001-11-30,1.1901,0.88888
2001-12-03,1.1863,0.89393
2001-12-04,1.1832,0.89378
2001-12-05,1.1868,0.89373
2001-12-06,1.1882,0.89585
2001-12-07,1.183,0.89819
2001-12-10,1.1815,0.89683
2001-12-11,1.1791,0.89765
2001-12-12,1.1766,0.88935
2001-12-13,1.1808,0.89183
2001-12-14,1.1883,0.90224
2001-12-17,1.187,0.9043
2001-12-18,1.1855,0.9045
2001-12-19,1.1721,0.89954
2001-12-20,1.1702,0.90042
2001-12-21,1.1652,0.90053
2001-12-24,1.1698,0.90208
2001-12-27,1.1704,0.9043
2001-12-28,1.1727,0.90662
2002-01-02,1.1832,0.90718
2002-01-03,1.1819,0.90755
2002-01-04,1.1856,0.90675
2002-01-07,1.1821,0.90273
2002-01-08,1.1852,0.90754
2002-01-09,1.181,0.91329
2002-01-10,1.1785,0.90588
2002-01-11,1.1741,0.90915
2002-01-14,1.1698,0.90535
2002-01-15,1.175,0.90395
2002-01-16,1.1787,0.90591
2002-01-17,1.1799,0.90598
2002-01-18,1.1795,0.91167
2002-01-21,1.1765,0.91035
2002-01-22,1.177,0.91413
2002-01-23,1.1795,0.91058
2002-01-24,1.1768,0.9081
2002-01-25,1.173,0.90673
2002-01-28,1.1752,0.90723
2002-01-29,1.1708,0.91235
2002-01-30,1.1702,0.90963
2002-01-31,1.167,0.90508
2002-02-01,1.1634,0.91343
2002-02-04,1.1645,0.91228
2002-02-05,1.1692,0.91885
2002-02-06,1.174,0.91743
2002-02-07,1.1787,0.91608
2002-02-08,1.1833,0.91318
2002-02-11,1.1797,0.9153
2002-02-12,1.1869,0.91423
2002-02-13,1.1892,0.92095
2002-02-14,1.1876,0.9219
2002-02-15,1.1854,0.92408
2002-02-18,1.1849,0.9159
2002-02-19,1.1773,0.91213
2002-02-20,1.1785,0.90453
2002-02-21,1.1824,0.89835
2002-02-22,1.1842,0.89325
2002-02-25,1.1813,0.89135
2002-02-26,1.1861,0.8884
2002-02-27,1.1987,0.88975
2002-02-28,1.194,0.89605
2002-03-01,1.1915,0.89468
2002-03-04,1.1806,0.89505
2002-03-05,1.1789,0.8969
2002-03-06,1.1814,0.89945
2002-03-07,1.1847,0.90175
2002-03-08,1.1769,0.89755
2002-03-11,1.185,0.90173
2002-03-12,1.1933,0.90345
2002-03-13,1.1906,0.90375
2002-03-14,1.1853,0.90625
2002-03-15,1.1813,0.90173
2002-03-18,1.1833,0.90373
2002-03-19,1.1771,0.90475
2002-03-20,1.1783,0.89843
2002-03-21,1.1763,0.90155
2002-03-22,1.1817,0.90373
2002-03-25,1.1843,0.90033
2002-03-26,1.1854,0.90265
